code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002549,凯美特气,环境保护,湖南,486.66,56694.1,56700.0,121329.35,37748.21,43956.4,9877.46,0.17,0.005,1.52,6.88,20110218
600854,春兰股份,家用电器,江苏,16.71,51945.85,51945.85,248213.92,113134.38,36453.95,153354.7,2.95,0.122,3.82,2.13,19940425
002310,东方园林,建筑施工,北京,0.0,55815.73,100871.2,1692095.63,1353167.75,85070.05,172627.17,1.71,-0.066,6.13,4.28,20091127
300385,雪浪环境,环境保护,江苏,89.0,4791.37,12000.0,146759.23,78815.46,28361.76,31692.9,2.64,0.105,5.93,6.33,20140626
002099,海翔药业,化学制药,浙江,29.76,81549.63,152287.7,512879.31,211806.17,130881.56,162624.38,1.07,0.087,2.38,4.37,20061226
002556,辉隆股份,其他商业,安徽,70.0,69778.32,71760.0,586890.75,406643.78,54689.78,104698.4,1.46,0.037,3.03,3.44,20110302
603698,航天工程,专用机械,北京,829.26,8877.05,41230.0,414854.28,292101.28,68605.8,105928.15,2.57,0.009,5.51,5.66,20150128
000768,中航飞机,航空,陕西,0.0,265381.72,276864.5,3707894.5,2988043.0,497752.06,1011545.38,3.65,-0.022,5.48,4.42,19970626
601008,连云港,港口,江苏,205.58,81163.5,101521.5,677210.44,56712.2,379637.44,161476.69,1.59,0.006,3.17,1.6,20070426
600432,*ST吉恩,小金属,吉林,0.0,81112.15,160372.39,1769447.75,615683.31,896239.38,625205.69,3.9,-0.122,3.15,2.37,20030905
600320,振华重工,工程机械,上海,93.28,276833.13,439029.47,5801581.5,2772631.0,1535091.25,552697.88,1.26,0.012,3.36,1.36,20001221
603028,赛福天,钢加工,江苏,184.39,5520.0,22080.0,98926.31,61630.36,23440.23,19095.5,0.86,0.05,2.96,11.18,20160331
000536,华映科技,元器件,福建,55.36,77707.49,77910.28,949066.5,624168.5,187151.56,69788.81,0.9,0.078,3.73,4.64,19931126
603377,东方时尚,汽车服务,北京,868.47,5000.0,42000.0,255321.16,122252.52,54834.57,77870.46,1.85,0.013,3.66,12.52,20160205
300495,美尚生态,建筑施工,江苏,162.77,5010.0,20010.0,170672.31,95878.95,2820.5,53795.21,2.69,0.079,5.19,9.9,20151222
600346,*ST橡塑,化纤,辽宁,26.91,66778.68,282568.69,1701830.0,895407.31,715840.56,0.0,0.0,0.08,1.26,4.9,20010820
002066,瑞泰科技,其他建材,北京,222.4,23100.0,23100.0,348177.28,237702.3,79000.56,16452.7,0.71,0.021,1.62,11.31,20060823
600980,北矿科技,元器件,北京,206.86,13000.0,15220.99,73367.36,46034.89,11866.49,27350.58,1.8,0.038,3.21,9.73,20040512
002411,必康股份,化学制药,江苏,31.15,28350.16,153228.39,1325873.38,680493.5,110493.01,489134.94,3.19,0.19,5.02,3.77,20100525
002790,瑞尔特,家居用品,福建,68.76,4000.0,16000.0,151734.69,111889.8,36820.51,66656.49,4.17,0.196,7.88,6.83,20160308
